City,Age,Distance,Time,Sex
St. Louis,52,10,20,M
St. Louis,21,35,40,F
St. Louis,23,40,45,F
St. Louis,38,0,2,M
St. Louis,26,15,25,M
St. Louis,46,7,12,M
St. Louis,28,15,15,F
St. Louis,19,10,15,F
St. Louis,21,5,10,F
St. Louis,46,12,25,M
St. Louis,45,2,2,F
St. Louis,52,10,20,F
St. Louis,49,25,37,F
St. Louis,52,11,20,M
St. Louis,39,14,40,M
St. Louis,44,10,30,F
St. Louis,62,4,20,F
St. Louis,39,25,35,M
St. Louis,46,6,15,F
St. Louis,28,6,8,M
St. Louis,46,28,30,M
St. Louis,34,22,30,M
St. Louis,47,5,10,F
St. Louis,33,16,20,M
St. Louis,52,12,12,F
St. Louis,54,5,20,F
St. Louis,31,25,25,M
St. Louis,29,2,10,M
St. Louis,52,5,20,F
St. Louis,25,3,10,F
St. Louis,41,8,10,F
St. Louis,26,12,20,F
St. Louis,44,7,10,M
St. Louis,27,1,3,M
St. Louis,40,18,25,M
St. Louis,22,25,25,M
St. Louis,34,10,19,M
St. Louis,36,20,30,M
St. Louis,20,8,15,F
St. Louis,51,8,30,F
St. Louis,71,12,15,F
St. Louis,34,7,20,F
St. Louis,28,7,15,M
St. Louis,18,25,30,M
St. Louis,47,3,15,F
St. Louis,28,40,40,M
St. Louis,48,25,30,M
St. Louis,55,40,45,M
St. Louis,66,3,7,F
St. Louis,26,2,5,M
St. Louis,52,0,2,M
St. Louis,64,12,15,M
St. Louis,20,6,10,F
St. Louis,57,28,35,F
St. Louis,43,3,7,M
St. Louis,30,12,30,F
St. Louis,34,10,20,M
St. Louis,78,10,20,F
St. Louis,25,10,25,M
St. Louis,50,16,25,F
St. Louis,46,0,10,M
St. Louis,57,18,35,M
St. Louis,35,23,45,M
St. Louis,64,8,10,M
St. Louis,41,5,20,F
St. Louis,29,11,15,M
St. Louis,45,20,30,M
St. Louis,34,0,5,M
St. Louis,28,20,30,F
St. Louis,52,12,25,F
St. Louis,42,17,30,F
St. Louis,55,7,15,M
St. Louis,47,15,30,F
St. Louis,33,10,10,F
St. Louis,65,12,15,F
St. Louis,55,3,3,F
St. Louis,22,5,10,F
St. Louis,20,10,15,F
St. Louis,44,37,40,F
St. Louis,64,24,45,F
St. Louis,46,4,10,F
St. Louis,43,20,30,M
St. Louis,45,9,35,F
St. Louis,21,15,20,M
St. Louis,33,20,30,M
St. Louis,66,10,20,F
St. Louis,27,12,20,M
St. Louis,35,12,25,M
St. Louis,58,15,15,M
St. Louis,23,17,20,F
St. Louis,44,25,45,M
St. Louis,59,3,6,F
St. Louis,52,5,5,M
St. Louis,26,10,10,M
St. Louis,30,14,30,F
St. Louis,19,5,5,F
St. Louis,35,22,30,F
St. Louis,26,10,20,M
St. Louis,30,0,1,M
St. Louis,27,25,30,F
St. Louis,47,10,10,F
St. Louis,50,15,15,M
St. Louis,53,10,30,F
St. Louis,41,10,14,F
St. Louis,48,5,10,F
St. Louis,43,4,15,M
St. Louis,50,1,10,M
St. Louis,19,18,40,F
St. Louis,61,0,2,M
St. Louis,33,9,15,M
St. Louis,57,44,45,M
St. Louis,50,6,15,F
St. Louis,54,3,10,M
St. Louis,28,20,30,M
St. Louis,40,2,10,M
St. Louis,32,3,10,M
St. Louis,72,8,15,F
St. Louis,53,30,45,M
St. Louis,54,45,45,M
St. Louis,54,22,30,F
St. Louis,39,35,40,F
St. Louis,37,9,15,F
St. Louis,25,8,25,M
St. Louis,40,53,56,M
St. Louis,55,15,20,M
St. Louis,17,5,10,M
St. Louis,50,15,20,M
St. Louis,39,10,10,F
St. Louis,62,3,6,F
St. Louis,45,25,30,M
St. Louis,33,25,35,M
St. Louis,30,33,75,F
St. Louis,40,20,25,F
St. Louis,42,42,45,F
St. Louis,45,0,10,M
St. Louis,42,23,45,M
St. Louis,17,15,15,F
St. Louis,74,15,25,F
St. Louis,55,16,20,M
St. Louis,28,7,10,F
St. Louis,48,7,15,M
St. Louis,48,5,5,F
St. Louis,46,29,45,M
St. Louis,29,15,15,M
St. Louis,55,19,30,F
St. Louis,48,30,35,M
St. Louis,47,10,20,M
St. Louis,22,27,40,M
St. Louis,47,37,60,F
St. Louis,51,13,30,M
St. Louis,32,10,15,F
St. Louis,38,2,10,M
St. Louis,46,9,15,F
St. Louis,18,10,20,F
St. Louis,66,26,45,M
St. Louis,25,11,15,F
St. Louis,22,15,25,M
St. Louis,37,20,30,F
St. Louis,56,12,12,F
St. Louis,37,7,20,F
St. Louis,57,22,25,F
St. Louis,17,20,30,F
St. Louis,48,5,10,F
St. Louis,16,10,15,F
St. Louis,35,12,15,M
St. Louis,55,5,20,F
St. Louis,19,10,15,M
St. Louis,40,0,5,M
St. Louis,36,9,15,F
St. Louis,50,15,25,F
St. Louis,69,20,30,M
St. Louis,50,12,35,F
St. Louis,51,27,30,F
St. Louis,51,40,40,F
St. Louis,39,2,5,F
St. Louis,61,22,30,M
St. Louis,22,4,5,M
St. Louis,24,10,20,F
St. Louis,53,10,15,F
St. Louis,68,2,5,M
St. Louis,30,6,15,F
St. Louis,47,10,25,F
St. Louis,44,12,25,M
St. Louis,24,5,10,M
St. Louis,41,5,20,M
St. Louis,32,10,20,F
St. Louis,28,4,5,M
St. Louis,45,10,20,F
St. Louis,47,65,65,M
St. Louis,30,30,40,F
St. Louis,35,7,15,M
St. Louis,30,10,20,F
St. Louis,44,6,30,M
St. Louis,40,15,20,M
St. Louis,51,5,20,F
St. Louis,38,5,15,M
St. Louis,17,5,10,F
St. Louis,47,28,40,M
St. Louis,46,22,35,F
St. Louis,56,27,40,F
St. Louis,51,3,5,M
St. Louis,22,15,15,F
St. Louis,23,0,5,M
St. Louis,54,3,10,F
St. Louis,46,20,25,F
St. Louis,45,22,25,M
St. Louis,42,36,40,M
St. Louis,56,35,45,F
St. Louis,60,5,20,F
St. Louis,59,80,105,F
St. Louis,34,15,20,M
St. Louis,35,21,25,F
St. Louis,71,20,30,M
St. Louis,37,17,30,M
St. Louis,37,8,10,M
St. Louis,44,19,30,M
St. Louis,28,10,15,F
St. Louis,45,18,25,M
St. Louis,17,10,20,M
St. Louis,25,8,15,M
St. Louis,30,3,5,M
St. Louis,25,25,30,M
St. Louis,64,6,10,M
St. Louis,58,3,3,F
St. Louis,27,23,45,M
St. Louis,17,15,15,M
St. Louis,60,11,15,F
St. Louis,45,15,25,F
St. Louis,52,10,15,F
St. Louis,25,4,7,F
St. Louis,47,14,20,M
St. Louis,16,12,20,M
St. Louis,50,15,35,M
St. Louis,35,22,30,F
St. Louis,49,6,15,M
St. Louis,61,5,10,M
St. Louis,34,30,30,F
St. Louis,84,0,5,M
St. Louis,52,37,75,F
St. Louis,54,3,10,M
St. Louis,57,26,35,M
St. Louis,50,26,45,F
St. Louis,26,35,35,M
St. Louis,45,30,30,F
St. Louis,42,3,7,M
St. Louis,54,18,35,F
St. Louis,38,7,20,F
St. Louis,56,5,7,M
St. Louis,68,3,5,M
St. Louis,19,20,25,F
St. Louis,20,5,5,M
St. Louis,31,12,25,F
St. Louis,26,3,5,F
St. Louis,23,25,25,M
St. Louis,32,30,130,M
St. Louis,56,26,45,M
St. Louis,23,25,25,M
St. Louis,50,4,4,F
St. Louis,34,5,10,M
St. Louis,54,20,40,F
St. Louis,66,33,45,M
St. Louis,37,22,30,M
St. Louis,35,20,25,F
St. Louis,24,1,2,F
St. Louis,42,10,15,F
St. Louis,42,27,35,F
St. Louis,30,32,35,F
St. Louis,60,3,10,M
St. Louis,57,8,15,F
St. Louis,30,30,35,F
St. Louis,21,4,5,M
St. Louis,61,12,15,F
St. Louis,39,5,20,F
St. Louis,52,8,20,M
St. Louis,61,15,20,M
St. Louis,55,5,8,M
St. Louis,29,15,15,F
St. Louis,58,15,15,F
St. Louis,34,23,45,F
St. Louis,51,15,25,F
St. Louis,42,17,30,M
St. Louis,21,15,15,F
St. Louis,56,15,20,M
St. Louis,23,10,45,F
St. Louis,44,0,4,M
St. Louis,28,10,15,M
St. Louis,60,22,25,M
St. Louis,24,5,20,F
St. Louis,37,1,2,F
St. Louis,50,35,45,F
St. Louis,34,15,15,F
St. Louis,56,20,20,M
St. Louis,34,9,15,F
St. Louis,28,40,50,M
St. Louis,42,30,45,M
St. Louis,49,24,40,M
St. Louis,30,3,5,M
St. Louis,51,6,10,F
St. Louis,27,9,45,M
St. Louis,42,25,35,F
St. Louis,23,7,15,M
St. Louis,18,3,5,F
St. Louis,40,10,15,F
St. Louis,48,4,10,F
St. Louis,23,8,15,F
St. Louis,23,12,20,M
St. Louis,59,7,30,M
St. Louis,50,10,20,M
St. Louis,32,11,20,F
St. Louis,27,30,45,F
St. Louis,34,6,15,M
St. Louis,57,30,30,M
St. Louis,36,1,5,F
St. Louis,17,10,15,M
St. Louis,50,20,25,F
St. Louis,52,8,10,F
St. Louis,31,1,4,F
St. Louis,43,7,8,M
St. Louis,20,4,10,F
St. Louis,43,8,15,F
St. Louis,55,2,5,F
St. Louis,49,36,38,M
St. Louis,47,15,15,M
St. Louis,30,40,45,F
St. Louis,34,39,45,M
St. Louis,60,10,15,M
St. Louis,45,5,5,F
St. Louis,20,8,15,F
St. Louis,34,25,45,M
St. Louis,27,2,3,M
St. Louis,58,25,25,M
St. Louis,46,10,15,F
St. Louis,47,8,10,M
St. Louis,53,10,15,F
St. Louis,56,3,10,F
St. Louis,47,12,15,F
St. Louis,45,20,40,M
St. Louis,56,15,25,M
St. Louis,30,25,30,F
St. Louis,40,10,20,M
St. Louis,28,18,75,M
St. Louis,24,8,20,M
St. Louis,16,1,5,M
St. Louis,50,33,35,M
St. Louis,50,18,40,F
St. Louis,37,6,15,F
St. Louis,63,35,45,F
St. Louis,51,15,35,M
St. Louis,47,15,30,M
St. Louis,54,8,10,M
St. Louis,38,23,40,M
St. Louis,69,2,15,M
St. Louis,52,9,15,M
St. Louis,51,6,15,M
St. Louis,38,25,40,M
St. Louis,25,40,40,M
St. Louis,45,10,15,M
St. Louis,52,1,3,M
St. Louis,41,12,15,F
St. Louis,73,10,20,M
St. Louis,37,20,30,M
St. Louis,72,0,2,F
St. Louis,54,2,15,F
St. Louis,36,20,20,F
St. Louis,42,30,40,M
St. Louis,46,35,45,F
St. Louis,33,18,20,F
St. Louis,16,4,7,F
St. Louis,63,6,10,F
St. Louis,27,10,15,F
St. Louis,41,6,15,M
St. Louis,20,13,15,F
St. Louis,49,9,20,F
St. Louis,20,30,30,M
St. Louis,54,17,20,M
St. Louis,28,12,30,F
St. Louis,65,12,14,M
St. Louis,37,10,10,M
St. Louis,40,15,20,M
St. Louis,22,20,30,F
St. Louis,64,5,30,F
St. Louis,18,20,20,F
St. Louis,56,4,13,F
St. Louis,54,20,20,F
St. Louis,38,10,10,F
St. Louis,40,10,10,M
St. Louis,57,4,10,F
St. Louis,49,12,20,F
St. Louis,48,20,25,M
St. Louis,45,5,12,F
St. Louis,42,8,15,F
St. Louis,48,9,13,F
St. Louis,41,20,25,M
St. Louis,58,5,10,M
St. Louis,30,0,1,M
St. Louis,24,5,10,M
St. Louis,55,2,10,M
St. Louis,39,10,15,M
St. Louis,29,2,5,M
St. Louis,52,20,35,M
St. Louis,41,2,5,M
St. Louis,25,25,30,M
St. Louis,47,10,30,M
St. Louis,16,5,10,F
St. Louis,19,7,15,M
St. Louis,41,5,20,F
St. Louis,47,18,20,M
St. Louis,67,15,20,M
St. Louis,52,7,8,M
St. Louis,27,12,25,F
St. Louis,57,10,10,M
St. Louis,22,12,20,F
St. Louis,26,30,40,F
St. Louis,57,1,35,M
St. Louis,29,15,20,M
St. Louis,46,30,30,M
St. Louis,64,15,20,M
St. Louis,29,25,30,M
St. Louis,24,15,20,F
St. Louis,23,5,10,F
St. Louis,40,10,15,M
St. Louis,58,3,10,F
St. Louis,39,13,17,F
St. Louis,51,30,45,M
St. Louis,54,28,40,F
St. Louis,60,15,30,M
St. Louis,26,30,45,F
St. Louis,43,23,35,F
St. Louis,17,5,10,M
St. Louis,40,2,15,M
St. Louis,31,20,25,F
St. Louis,17,17,20,F
St. Louis,50,10,30,M
St. Louis,46,12,25,F
St. Louis,46,1,1,F
St. Louis,20,3,3,F
St. Louis,27,3,5,M
St. Louis,53,30,35,M
St. Louis,62,8,15,M
St. Louis,46,30,35,M
St. Louis,39,15,30,M
St. Louis,50,10,15,F
St. Louis,55,6,10,M
St. Louis,45,27,40,F
St. Louis,43,22,30,M
St. Louis,65,6,20,M
St. Louis,24,10,10,M
St. Louis,27,15,20,M
St. Louis,39,5,7,F
St. Louis,23,3,5,F
St. Louis,54,6,15,M
St. Louis,19,11,15,F
St. Louis,39,24,35,F
St. Louis,32,10,17,M
St. Louis,51,13,30,F
St. Louis,23,18,20,M
St. Louis,39,20,30,M
St. Louis,37,10,10,F
St. Louis,46,25,30,M
St. Louis,51,23,28,F
St. Louis,51,1,2,M
St. Louis,46,12,12,F
St. Louis,29,25,45,F
St. Louis,45,20,25,F
St. Louis,35,15,15,M
St. Louis,45,15,15,F
St. Louis,51,13,20,F
St. Louis,56,12,20,M
St. Louis,31,20,20,M
St. Louis,46,17,20,M
St. Louis,52,35,35,F
St. Louis,28,35,50,F
St. Louis,56,14,20,M
St. Louis,47,6,15,F
St. Louis,58,12,25,M
St. Louis,64,10,10,M
St. Louis,45,10,10,M
St. Louis,24,8,15,M
St. Louis,44,8,20,F
St. Louis,37,7,10,M
St. Louis,55,15,20,F
St. Louis,57,27,40,M
St. Louis,16,7,17,M
St. Louis,40,35,40,F
St. Louis,37,21,25,M
St. Louis,42,10,20,F
St. Louis,71,7,20,F
St. Louis,40,30,40,M
St. Louis,36,23,30,M
St. Louis,52,4,5,F
St. Louis,34,45,45,M
St. Louis,43,10,15,F
St. Louis,44,8,15,M
St. Louis,25,20,30,M
St. Louis,16,17,20,M
St. Louis,49,10,15,F
St. Louis,57,2,5,F
St. Louis,35,0,5,F
St. Louis,32,10,30,M
St. Louis,35,8,10,F
