County,Latitude,Longitude
Alachua,29.66082,-82.37565
Baker,30.27564,-82.19801
Bay,30.19666,-85.64962
Bradford,29.94516,-82.13074
Brevard,28.23922,-80.68281
Broward,26.13412,-80.21567
Calhoun,30.42938,-85.12514
Charlotte,26.95358,-82.1072
Citrus,28.85612,-82.44618
Clay,30.07607,-81.7938
Collier,26.18671,-81.7003
Columbia,30.13784,-82.6554
Dade,25.77632,-80.28877
DeSoto,27.19374,-81.86811
Dixie,29.6495,-83.10594
Duval,30.29719,-81.61754
Escambia,30.47651,-87.26792
Flagler,29.51937,-81.23148
Franklin,29.81566,-84.81566
Gadsden,30.59482,-84.58316
Gilchrist,29.68169,-82.81521
Glades,26.93012,-81.1556
Gulf,29.94057,-85.25868
Hamilton,30.50215,-82.95995
Hardee,27.53721,-81.80868
Hendry,26.7168,-81.18692
Hernando,28.50242,-82.49007
Highlands,27.45445,-81.43019
Hillsborough,27.97787,-82.40563
Holmes,30.84546,-85.75382
Indian River,27.66302,-80.42679
Jackson,30.79053,-85.19669
Jefferson,30.5003,-83.87796
Lafayette,30.02765,-83.20038
Lake,28.76737,-81.7526
Lee,26.57069,-81.86848
Leon,30.46184,-84.26453
Levy,29.35964,-82.67915
Liberty,30.29037,-84.93668
Madison,30.46006,-83.43249
Manatee,27.47002,-82.54713
Marion,29.15092,-82.1133
Martin,27.138,-80.2387
Monroe,24.73723,-81.24453
Nassau,30.61083,-81.64488
Okaloosa,30.52403,-86.56061
Okeechobee,27.27735,-80.83882
Orange,28.53555,-81.38158
Osceola,28.26791,-81.36964
Palm Beach,26.60391,-80.13972
Pasco,28.26496,-82.53628
Pinellas,27.89215,-82.72316
Polk,28.01505,-81.80582
Putnam,29.60341,-81.71691
Saint Johns,29.96367,-81.38637
Saint Lucie,27.35013,-80.33923
Santa Rosa,30.55646,-87.04074
Sarasota,27.21861,-82.44571
Seminole,28.68822,-81.31213
Sumter,28.78611,-82.06296
Suwannee,30.208,-82.984
Taylor,30.06555,-83.58694
Union,30.02186,-82.34843
Volusia,29.07636,-81.11015
Wakulla,30.17329,-84.34976
Walton,30.60441,-86.15377
Washington,30.64815,-85.61939