Age,Sex,Status
23,Male,Died
40,Female,Survived
40,Male,Survived
30,Male,Died
28,Male,Died
40,Male,Died
45,Female,Died
62,Male,Died
65,Male,Died
45,Female,Died
25,Female,Died
28,Male,Survived
28,Male,Died
23,Male,Died
22,Female,Survived
23,Female,Survived
28,Male,Survived
15,Female,Survived
47,Female,Died
57,Male,Died
20,Female,Survived
18,Male,Survived
25,Male,Died
60,Male,Died
25,Male,Survived
20,Male,Survived
32,Male,Survived
32,Female,Survived
24,Female,Survived
30,Male,Survived
15,Male,Died
50,Female,Died
21,Female,Survived
25,Male,Died
46,Male,Survived
32,Female,Survived
30,Male,Died
25,Male,Died
25,Male,Died
25,Male,Died
30,Male,Died
35,Male,Died
23,Male,Survived
24,Male,Died
25,Female,Survived