year,month,day,precipitation,max_temp,min_temp,ave_temp
2022,1,1,0,82,67,74.5
2022,1,2,0,82,71,76.5
2022,1,3,0.02,75,55,65
2022,1,4,0,76,50,63
2022,1,5,0,75,59,67
2022,1,6,0.00001,74,56,65
2022,1,7,0.00001,81,63,72
2022,1,8,0,81,58,69.5
2022,1,9,0,84,65,74.5
2022,1,10,0,81,64,72.5
2022,1,11,0,73,54,63.5
2022,1,12,0,77,54,65.5
2022,1,13,0,74,59,66.5
2022,1,14,0,72,55,63.5
2022,1,15,0,75,50,62.5
2022,1,16,0.68,71,62,66.5
2022,1,17,0,66,56,61
2022,1,18,0,64,42,53
2022,1,19,0,75,47,61
2022,1,20,0,78,53,65.5
2022,1,21,0,76,60,68
2022,1,22,0.01,62,47,54.5
2022,1,23,0.00001,57,46,51.5
2022,1,24,0,63,40,51.5
2022,1,25,0.67,57,50,53.5
2022,1,26,0.08,63,54,58.5
2022,1,27,0,74,59,66.5
2022,1,28,0.00001,67,54,60.5
2022,1,29,0,55,41,48
2022,1,30,0,58,36,47
2022,1,31,0,69,39,54
2022,2,1,0,76,49,62.5
2022,2,2,0,82,57,69.5
2022,2,3,0,85,66,75.5
2022,2,4,0,83,67,75
2022,2,5,0.02,71,55,63
2022,2,6,0.02,64,54,59
2022,2,7,0,70,54,62
2022,2,8,0.35,56,53,54.5
2022,2,9,0.00001,69,49,59
2022,2,10,0,72,47,59.5
2022,2,11,0,78,52,65
2022,2,12,0.00001,80,55,67.5
2022,2,13,0.1,76,56,66
2022,2,14,0,68,46,57
2022,2,15,0,75,47,61
2022,2,16,0,84,59,71.5
2022,2,17,0,86,67,76.5
2022,2,18,0,81,68,74.5
2022,2,19,0.13,77,60,68.5
2022,2,20,0,82,54,68
2022,2,21,0,86,63,74.5
2022,2,22,0,87,67,77
2022,2,23,0,86,70,78
2022,2,24,0,86,68,77
2022,2,25,0,84,68,76
2022,2,26,0,85,67,76
2022,2,27,0,82,69,75.5
2022,2,28,0,80,64,72
2022,3,1,0,79,60,69.5
2022,3,2,0,78,58,68
2022,3,3,0,83,59,71
2022,3,4,0,89,65,77
2022,3,5,0,88,64,76
2022,3,6,0,89,66,77.5
2022,3,7,0,88,71,79.5
2022,3,8,0,86,74,80
2022,3,9,0,86,75,80.5
2022,3,10,0.00001,84,72,78
2022,3,11,0,86,72,79
2022,3,12,0.41,79,48,63.5
2022,3,13,0,70,41,55.5
2022,3,14,0,81,54,67.5
2022,3,15,1.04,84,67,75.5
2022,3,16,0.00001,80,68,74
2022,3,17,0,79,65,72
2022,3,18,0,87,65,76
2022,3,19,0,86,69,77.5
2022,3,20,0,84,65,74.5
2022,3,21,0,85,57,71
2022,3,22,0,88,66,77
2022,3,23,0,87,73,80
2022,3,24,1.42,77,63,70
2022,3,25,0,80,62,71
2022,3,26,0,81,60,70.5
2022,3,27,0,81,63,72
2022,3,28,0,83,67,75
2022,3,29,0,86,64,75
2022,3,30,0,88,69,78.5
2022,3,31,0.04,86,73,79.5
2022,4,1,1.37,83,68,75.5
2022,4,2,1.11,83,65,74
2022,4,3,0,80,68,74
2022,4,4,0,85,65,75
2022,4,5,0,88,72,80
2022,4,6,0,87,77,82
2022,4,7,1.34,81,71,76
2022,4,8,0,76,66,71
2022,4,9,0,76,58,67
2022,4,10,0,77,56,66.5
2022,4,11,0,85,62,73.5
2022,4,12,0,88,66,77
2022,4,13,0,86,70,78
2022,4,14,0,86,75,80.5
2022,4,15,0.02,87,73,80
2022,4,16,0,88,73,80.5
2022,4,17,0,88,75,81.5
2022,4,18,0,91,73,82
2022,4,19,0,84,66,75
2022,4,20,0,85,61,73
2022,4,21,0,87,67,77
2022,4,22,0,87,67,77
2022,4,23,0,88,68,78
2022,4,24,0,90,69,79.5
2022,4,25,0,90,71,80.5
2022,4,26,0,87,72,79.5
2022,4,27,0,88,66,77
2022,4,28,0.14,88,70,79
2022,4,29,1.22,89,69,79
2022,4,30,1.56,87,67,77
2022,5,1,0.03,86,69,77.5
2022,5,2,0,87,71,79
2022,5,3,0.62,88,71,79.5
2022,5,4,0,88,73,80.5
2022,5,5,0,90,76,83
2022,5,6,0,89,76,82.5
2022,5,7,0.15,87,74,80.5
2022,5,8,0,89,75,82
2022,5,9,0,90,71,80.5
2022,5,10,0,87,65,76
2022,5,11,0,86,64,75
2022,5,12,0,87,66,76.5
2022,5,13,0,86,70,78
2022,5,14,0,88,72,80
2022,5,15,0,88,72,80
2022,5,16,0,87,73,80
2022,5,17,0,89,75,82
2022,5,18,0,91,76,83.5
2022,5,19,0,90,77,83.5
2022,5,20,0.17,88,75,81.5
2022,5,21,0.00001,90,74,82
2022,5,22,0,96,74,85
2022,5,23,0.00001,92,79,85.5
2022,5,24,0.01,94,79,86.5
2022,5,25,0,95,77,86
2022,5,26,0,92,78,85
2022,5,27,0,89,78,83.5
2022,5,28,0,92,77,84.5
2022,5,29,0,92,72,82
2022,5,30,1.65,96,73,84.5
2022,5,31,0.08,93,73,83
2022,6,1,0.00001,89,75,82
2022,6,2,1.6,91,73,82
2022,6,3,0.00001,86,76,81
2022,6,4,0.47,88,75,81.5
2022,6,5,0,91,75,83
2022,6,6,0,91,77,84
2022,6,7,0.16,92,77,84.5
2022,6,8,0,92,81,86.5
2022,6,9,0.1,88,79,83.5
2022,6,10,0.01,91,80,85.5
2022,6,11,2.81,90,75,82.5
2022,6,12,0,90,77,83.5
2022,6,13,0,92,81,86.5
2022,6,14,0,94,80,87
2022,6,15,0.11,95,78,86.5
2022,6,16,0.00001,95,79,87
2022,6,17,0,97,80,88.5
2022,6,18,0,98,81,89.5
2022,6,19,0.04,94,80,87
2022,6,20,0.1,95,78,86.5
2022,6,21,0,94,77,85.5
2022,6,22,0,92,77,84.5
2022,6,23,0,93,79,86
2022,6,24,0.19,95,79,87
2022,6,25,0,92,78,85
2022,6,26,0,96,78,87
2022,6,27,1.28,93,76,84.5
2022,6,28,0.09,95,77,86
2022,6,29,0.04,94,78,86
2022,6,30,1.07,93,77,85
2022,7,1,0.00001,91,78,84.5
2022,7,2,0.00001,91,80,85.5
2022,7,3,0,91,79,85
2022,7,4,0.00001,94,78,86
2022,7,5,0.01,94,81,87.5
2022,7,6,0.05,96,80,88
2022,7,7,0.03,93,81,87
2022,7,8,0.19,94,79,86.5
2022,7,9,0,92,81,86.5
2022,7,10,0.87,93,78,85.5
2022,7,11,0.63,89,79,84
2022,7,12,0,93,82,87.5
2022,7,13,0,94,80,87
2022,7,14,2.08,92,73,82.5
2022,7,15,0,93,74,83.5
2022,7,16,2.86,93,76,84.5
2022,7,17,0.78,90,77,83.5
2022,7,18,0,93,81,87
2022,7,19,0.02,93,83,88
2022,7,20,0,93,83,88
2022,7,21,0,93,80,86.5
2022,7,22,1.64,95,77,86
2022,7,23,1.69,94,77,85.5
2022,7,24,0,95,79,87
2022,7,25,0.02,94,81,87.5
2022,7,26,1.12,94,76,85
2022,7,27,0,93,77,85
2022,7,28,0,95,81,88
2022,7,29,0,97,82,89.5
2022,7,30,0,97,81,89
2022,7,31,0,97,81,89
2022,8,1,0,94,83,88.5
2022,8,2,0.00001,96,81,88.5
2022,8,3,0.98,92,76,84
2022,8,4,1.24,95,76,85.5
2022,8,5,0.00001,96,78,87
2022,8,6,0.04,95,80,87.5
2022,8,7,0.24,96,78,87
2022,8,8,0.06,94,77,85.5
2022,8,9,1.28,94,75,84.5
2022,8,10,0,93,77,85
2022,8,11,0,90,79,84.5
2022,8,12,0,92,80,86
2022,8,13,0,92,80,86
2022,8,14,0.00001,87,80,83.5
2022,8,15,0.00001,87,79,83
2022,8,16,0,92,80,86
2022,8,17,0.64,92,80,86
2022,8,18,0,93,78,85.5
2022,8,19,0,92,76,84
2022,8,20,0.47,96,79,87.5
2022,8,21,0.45,94,77,85.5
2022,8,22,0,92,81,86.5
2022,8,23,0,92,80,86
2022,8,24,0.61,95,77,86
2022,8,25,0.31,93,77,85
2022,8,26,0.00001,91,77,84
2022,8,27,0.02,92,79,85.5
2022,8,28,0.16,91,78,84.5
2022,8,29,0,90,78,84
2022,8,30,0,91,80,85.5
2022,8,31,0.01,93,80,86.5
2022,9,1,2.74,94,75,84.5
2022,9,2,1.41,91,73,82
2022,9,3,0.4,93,76,84.5
2022,9,4,0,93,80,86.5
2022,9,5,0,94,80,87
2022,9,6,0,94,80,87
2022,9,7,0.1,91,78,84.5
2022,9,8,1.64,87,74,80.5
2022,9,9,0.13,88,75,81.5
2022,9,10,1.09,87,76,81.5
2022,9,11,0.02,90,77,83.5
2022,9,12,0.03,91,77,84
2022,9,13,0.03,90,78,84
2022,9,14,0.06,87,76,81.5
2022,9,15,0,91,75,83
2022,9,16,0.87,88,74,81
2022,9,17,0.06,92,75,83.5
2022,9,18,0,88,74,81
2022,9,19,0.02,90,77,83.5
2022,9,20,0.07,92,76,84
2022,9,21,0.00001,93,77,85
2022,9,22,0,94,77,85.5
2022,9,23,1.07,93,77,85
2022,9,24,0,92,76,84
2022,9,25,0,92,73,82.5
2022,9,26,0.00001,93,76,84.5
2022,9,27,0.08,84,76,80
2022,9,28,2.47,76,73,74.5
2022,9,29,0,77,65,71
2022,9,30,0,77,65,71
2022,10,1,0,82,68,75
2022,10,2,0,86,67,76.5
2022,10,3,0,84,66,75
2022,10,4,0,83,63,73
2022,10,5,0,83,64,73.5
2022,10,6,0,84,67,75.5
2022,10,7,0,87,67,77
2022,10,8,0,88,65,76.5
2022,10,9,0,90,66,78
2022,10,10,0.00001,90,74,82
2022,10,11,0.00001,89,74,81.5
2022,10,12,0.02,85,74,79.5
2022,10,13,0.3,82,73,77.5
2022,10,14,0,88,71,79.5
2022,10,15,0,88,74,81
2022,10,16,0,90,71,80.5
2022,10,17,0.00001,86,75,80.5
2022,10,18,0.01,81,64,72.5
2022,10,19,0,68,53,60.5
2022,10,20,0,73,49,61
2022,10,21,0,77,54,65.5
2022,10,22,0,82,55,68.5
2022,10,23,0,86,63,74.5
2022,10,24,0,86,66,76
2022,10,25,0,83,69,76
2022,10,26,0,83,69,76
2022,10,27,0.06,85,74,79.5
2022,10,28,0.71,87,72,79.5
2022,10,29,0,87,71,79
2022,10,30,0,87,71,79
2022,10,31,0,86,70,78
2022,11,1,0,88,72,80
2022,11,2,0,90,76,83
2022,11,3,0.9,88,71,79.5
2022,11,4,0,86,67,76.5
2022,11,5,0.00001,86,69,77.5
2022,11,6,0.00001,89,73,81
2022,11,7,0,87,70,78.5
2022,11,8,0.06,85,69,77
2022,11,9,0.09,76,67,71.5
2022,11,10,2.46,74,67,70.5
2022,11,11,0.76,78,71,74.5
2022,11,12,0.01,81,67,74
2022,11,13,0.01,78,65,71.5
2022,11,14,0,79,62,70.5
2022,11,15,0,81,68,74.5
2022,11,16,0.14,79,62,70.5
2022,11,17,0,69,53,61
2022,11,18,0,69,52,60.5
2022,11,19,0,75,53,64
2022,11,20,0.39,61,52,56.5
2022,11,21,0.00001,79,54,66.5
2022,11,22,0,78,65,71.5
2022,11,23,0.05,79,65,72
2022,11,24,0,79,67,73
2022,11,25,0.00001,82,68,75
2022,11,26,0,82,71,76.5
2022,11,27,0.27,81,67,74
2022,11,28,0,78,64,71
2022,11,29,0,83,61,72
2022,11,30,0.04,82,67,74.5
2022,12,1,0,77,63,70
2022,12,2,0,81,62,71.5
2022,12,3,0,82,63,72.5
2022,12,4,0,80,61,70.5
2022,12,5,0,81,63,72
2022,12,6,0,81,66,73.5
2022,12,7,0,84,67,75.5
2022,12,8,0,84,65,74.5
2022,12,9,0,79,63,71
2022,12,10,0,80,62,71
2022,12,11,0,70,64,67
2022,12,12,0,76,59,67.5
2022,12,13,0,80,60,70
2022,12,14,0,81,66,73.5
2022,12,15,1.09,76,64,70
2022,12,16,0.05,68,56,62
2022,12,17,0.02,70,54,62
2022,12,18,0.04,69,51,60
2022,12,19,0,74,46,60
2022,12,20,0.11,67,58,62.5
2022,12,21,0.6,69,60,64.5
2022,12,22,0.15,69,59,64
2022,12,23,0.00001,70,42,56
2022,12,24,0,45,31,38
2022,12,25,0,46,31,38.5
2022,12,26,0,55,38,46.5
2022,12,27,0,68,40,54
2022,12,28,0,75,48,61.5
2022,12,29,0,80,56,68
2022,12,30,0,81,61,71
2022,12,31,0.29,71,66,68.5